geo_fips,statefips,countyfips,tractfips,blockgroupfips,totalpopest2015_19acs,yearofstartdate,underage1popest2015_19acs,age0to17popest2015_19acs,unique0to17withed_visit,unique0to17withed_visitper100,numbered_visitsage0to17,ed_visitsper100age0to17,numberlowacuityed_visitsage0to17,lowacuityed_visitsper100age0to17,numberasthmarelateded_visits,asthmarelateded_visitsper100age0to17,numbered_visitsbychildrenunder1yearold,numberofinjuryrelatedvisits,injuryrelatededvisitsper100age0to17,numberacuterespiratorytractinfectionrelateded_visitsage0to17,acuterespiratorytractinfectionrelateded_visitsper100age0to17
420031301002,42,3,130100,2,518,2016.0,9.4,207,70.0,33.8,122.0,58.9,62.0,30.0,40.0,19.3,14.0,1.0,0.5,18.0,8.7
420031301002,42,3,130100,2,518,2017.0,9.4,207,69.0,33.3,130.0,62.8,80.0,38.6,54.0,26.1,11.0,1.0,0.5,27.0,13.0
420031301002,42,3,130100,2,518,2018.0,9.4,207,66.0,31.9,138.0,66.7,85.0,41.1,59.0,28.5,13.0,2.0,1.0,19.0,9.2
420031301003,42,3,130100,3,489,2016.0,0.0,134,38.0,28.4,71.0,53.0,39.0,29.1,13.0,9.7,12.0,2.0,1.5,10.0,7.5
420031301003,42,3,130100,3,489,2017.0,0.0,134,35.0,26.1,93.0,69.4,59.0,44.0,31.0,23.1,19.0,1.0,0.7,15.0,11.2
420031301003,42,3,130100,3,489,2018.0,0.0,134,51.0,38.1,86.0,64.2,56.0,41.8,23.0,17.2,9.0,1.0,0.7,15.0,11.2
420031301003,42,3,130100,3,489,2019.0,0.0,134,43.0,32.1,80.0,59.7,62.0,46.3,18.0,13.4,6.0,1.0,0.7,14.0,10.4
420031302002,42,3,130200,2,1115,2016.0,28.2,317,56.0,17.7,88.0,27.8,40.0,12.6,20.0,6.3,12.0,3.0,0.9,18.0,5.7
420031303001,42,3,130300,1,358,2016.0,5.2,99,48.0,48.5,86.0,86.9,51.0,51.5,19.0,19.2,15.0,1.0,1.0,23.0,23.2
420031303001,42,3,130300,1,358,2017.0,5.2,99,45.0,45.5,82.0,82.8,53.0,53.5,13.0,13.1,12.0,1.0,1.0,19.0,19.2
